,Unnamed: 0,victim.victim_id,attribute.confidentiality.data_disclosure,victim.orgsize,victim.country,action.social.variety,timeline.incident.day,timeline.incident.month,timeline.incident.year,action.error.variety,action.hacking.variety,action.malware.variety,action.misuse.variety,action.physical.variety,victim.state,victim.secondary.victim_id,action.environmental.variety,targeted,incident_id,reference,confidence,victim.employee_count,victim.government,victim.industry,victim.region,victim.revenue.amount,victim.revenue.iso_currency_code,impact.iso_currency_code,impact.loss.amount,impact.loss.max_amount,impact.loss.min_amount,impact.overall_amount,impact.overall_max_amount,impact.overall_min_amount,impact.overall_rating,security_incident,victim.industry2,victim.industry3,victim.orgsize.1,code,NAICS industry
6480,6480,tmobile,Yes,Unknown,US,,,8.0,2021,,Exploit misconfig,,,,WA,,,Opportunistic,ec5c6ec0-25e2-11ec-8021-93be7268887c,https://www.govinfosecurity.com/t-mobile-usa-investigates-possible-data-breach-a-17293,High,50001 to 100000,,517312,19021,,,,,,,,,,,Confirmed,51,517,Unknown,,
6482,6482,wright county,Yes,Unknown,US,,,12.0,2016,,,,Data mishandling,,MN,,,Opportunistic,c2ddddc0-40d3-11ec-b81c-33d442e55df8,https://www.fox9.com/news/wright-county-alerting-residents-of-data-breach-involving-county-employee,High,101 to 1000,Regional,92,19021,,,,,,,,,,,Confirmed,92,92,Unknown,92,Public Administration
6486,6486,perkinelmer inc,Yes,Unknown,US,Phishing,,,2016,,,,,,MA,,,,7AD91346-E95D-41AC-81AA-97291D22114A,https://oag.ca.gov/system/files/PerkinElmer%2003152016%20California%20notice%20redacted_0.pdf,,1001 to 10000,,3345,19021,,,,,,,,,,Unknown,Confirmed,33,334,Unknown,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
6490,6490,united states department of veterans affairs,Yes,Unknown,US,,22.0,6.0,2011,Misdelivery,,,,,MT,,,,B5CDDB4D-C24E-4D24-9208-4C1B066CD73B,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6492,6492,georgia united credit union,Yes,Unknown,US,,,5.0,2016,,,,Privilege abuse,,GA,,,,176103f0-a9dd-11e7-8c20-836b8b691ede,http://www.daltondailycitizen.com/news/local_news/bank-employee-charged-with-stealing-about/article_081040f9-73ba-5524-9592-494238d094f0.html,High,101 to 1000,,522110,19021,,,,,,,,,,,Confirmed,52,522,Unknown,522110,Commercial Banking
6493,6493,hasta regional medical center,Yes,Unknown,US,,,,2011,,,,Privilege abuse,,CA,,,,B5E2ACD7-9BD0-4406-ABA3-70D5DA1FF24A,http://www.jdsupra.com/legalnews/hospital-disclosure-of-phi-to-media-and-86023/?goback=%2Egde_4636751_member_250704577; http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/shasta-agreement-press-release.html; http://www.hhs.gov/ocr/privacy/hipaa/enforcement/examples/shasta-agreement.pdf,,1001 to 10000,,622110,19021,,,USD,,,,275000.0,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6496,6496,christian louboutin,Yes,Unknown,US,,28.0,8.0,2016,,Use of stolen creds,,,,,,,Targeted,bcbfc780-dec8-11e7-aa62-a96e008cbc03,https://oag.ca.gov/system/files/Louboutin%20CA%20first%20Data%20Breach%20Customer%20Notification-c_0.pdf,Medium,1001 to 10000,,454111,19021,,,,,,,,,,,Confirmed,45,454,Unknown,,
6499,6499,united states department of veterans affairs,Yes,Unknown,US,,5.0,6.0,2015,Misdelivery,,,,,IL,,,,BA2B47CE-5116-4A18-AFBD-43001FE7BDD3,http://vcdb.org/pdf/va-security-jun-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6500,6500,ebay inc,Yes,Unknown,US,,,,2017,Misdelivery,,,,,US-CA,,,,795e8790-016e-11ea-9d67-277844cc3a60,"https://www.ecommercebytes.com/C/blog/blog.pl?/comments///1512941047.html,https://www.ecommercebytes.com/C/blog/blog.pl?/pl/2017/12/1513039564.html",Medium,10001 to 25000,,454,19021,,,,,,,,,,Insignificant,Confirmed,45,454,Unknown,,
6503,6503,mille lacs health system,Yes,Unknown,US,Phishing,26.0,8.0,2019,,Use of stolen creds,,,,MN,,,Opportunistic,c29df010-070a-11eb-ab9e-fb89bdbaf0c7,https://www.messagemedia.co/millelacs/community/health/mlhs-email-security-breach/article_7a8149d2-a4e8-11ea-b433-b7fe621219bd.html,High,101 to 1000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6508,6508,united states department of veterans affairs,Yes,Unknown,US,,26.0,9.0,2014,Misdelivery,,,,,CA,,,,B65780C3-5651-4B43-89A1-DB0E5E911AF1,http://vcdb.org/pdf/va-security-sep-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6510,6510,kroll background america inc,Yes,Unknown,US,,,6.0,2013,,Unknown,Capture app data,,,TN,,,,B65CFD00-A308-4EB4-9CF6-D29EB69364A3,http://krebsonsecurity.com/2013/09/data-broker-giants-hacked-by-id-theft-service/ (20130925),,101 to 1000,,561611,19021,,,,,,,,,,Unknown,Confirmed,56,561,Unknown,561611,Investigation and Personal Background Check Services
6544,6544,st marys medical center,Yes,Unknown,US,,,,2015,,Unknown,,,,IN,,,,B66EFA91-71CC-4CDF-9418-4C53B5759A4F,http://fox59.com/2015/03/08/evansville-hospital-warns-4400-patients-of-hacker-attack/; http://healthitsecurity.com/2015/03/09/cyber-attack-stolen-patient-records-equal-security-breaches/; http://www.courierpress.com/news/local/st-marys-patient-information-compromised-in-email-hack-ep-975545178-324615681.html,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6582,6582,united states department of veterans affairs,Yes,Unknown,US,,27.0,3.0,2012,Gaffe,,,,,FL,,,,B6C05241-E4AC-493C-8041-A59E06987DE6,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6584,6584,university of rochester medical center affiliates,Yes,Unknown,US,,1.0,4.0,2015,,,,Privilege abuse,,NY,,,,80741BBD-AC31-48DB-BA51-3104C2DF596C,http://wxxinews.org/post/settlement-between-nys-urmc-over-patient-privacy-breach; http://www.jdsupra.com/legalnews/blog-university-of-rochester-medical-53663/; http://www.democratandchronicle.com/story/news/2015/05/22/urmc-patient-information-breached/27799845/,,10001 to 25000,,622110,19021,,,USD,,,,15000.0,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6585,6585,california department of social services,Yes,Unknown,US,,5.0,11.0,2012,Publishing error,,,,,CA,,,,B6DB4B47-AFBA-455F-9D42-7C3D4BBD6D9E,http://siliconangle.com/blog/2012/12/21/second-data-leak-in-the-state-of-california/ (20130218) http://www.kcra.com/news/local-news/news-sacramento/State-of-Calif-mistakenly-publishes-thousands-of-SSN-online/-/12969376/17723434/-/item/0/-/14jl2vwz/-/index.html (20120218),,1001 to 10000,Unknown,923,19021,,,,,,,,,,Unknown,Confirmed,92,923,Unknown,923,Administration of Human Resource Programs
6595,6595,michigan state university,Yes,Unknown,US,Phishing,18.0,10.0,2013,,Use of stolen creds,,,,MI,,,,B714B01E-3D33-4DA8-9E38-43DFBC60D316,http://www.esecurityplanet.com/network-security/michigan-state-university-admits-security-breach.html,,1001 to 10000,,611310,19021,,,,,,,,,,Unknown,Confirmed,61,611,Unknown,611310,"Colleges, Universities, and Professional Schools "
6599,6599,kirkwood community college,Yes,Unknown,US,,13.0,3.0,2013,,Unknown,,,,IA,,,,B741F99A-80A0-4434-A8F4-26E98E6297ED,http://www.esecurityplanet.com/hackers/kirkwood-community-college-hacked.html,,1001 to 10000,,611210,19021,,,,,,,,,,,Confirmed,61,611,Unknown,611210,Junior Colleges
6603,6603,starbucks corp,Yes,Unknown,US,,,,2013,,,,,Tampering,WA,,,,B7670CBB-3B42-4024-BDF6-1BED5F9F986A,http://www.theprovince.com/news/Surrey+jailed+debit+card+scam/9098307/story.html,,Over 100000,,722515,19021,,,,,,,,,,Unknown,Confirmed,72,722,Unknown,722515,Snack and Nonalcoholic Beverage Bars
6611,6611,city of berkeley,Yes,Unknown,US,,,,2013,Publishing error,,,,,CA,,,,B7889E4B-2E36-4D30-903D-7DB8FB15F0D5,http://blog.sfgate.com/inberkeley/2013/04/22/berkeley-says-sorry-for-mistaken-breach-of-city-employee-privacy/,,1001 to 10000,Unknown,92114,19021,,,,,,,,,,,Confirmed,92,921,Unknown,92114,"Executive and Legislative Offices, Combined "
6629,6629,united states department of veterans affairs,Yes,Unknown,US,,5.0,5.0,2011,Loss,,,,,PA,,,,B85761D4-DD5E-4E07-BD1E-0FDE3B495E44,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6630,6630,experian,Yes,Unknown,US,,11.0,4.0,2012,,,,Privilege abuse,,CA,,,,B85B2675-358B-4143-98E9-E4A86C31B678,http://doj.nh.gov/consumer/security-breaches/documents/arizona-central-cu-experian-20120608.pdf,,1001 to 10000,,561450,19021,576700000.0,USD,,,,,,,,Unknown,Confirmed,56,561,Unknown,561450,Credit Bureaus
6633,6633,7eleven,Yes,Unknown,UM,,,1.0,2020,,,,,Skimmer,OK,,,Opportunistic,5f9d6a90-1795-11eb-a388-210bf038e9e5,http://news9.com/story/5e345f443196993fcfd05fc0/2-men-wanted-for-credit-card-skimming-activity-at-okc-gas-pumps,High,50001 to 100000,,445120,19021,,,,,,,,,,,Confirmed,44,445,Unknown,,
6634,6634,advocate christ medical center,Yes,Unknown,US,,,,2019,Misdelivery,,,,,US-IL,,,,75a9e620-e9d7-11e9-bcf0-459173902f03,"https://www.databreaches.net/advocate-christ-medical-center-demonstrates-how-not-to-respond-to-a-hipaa-breach/,https://chicago.cbslocal.com/2019/10/03/man-gets-somebody-elses-medical-records-advocate-christ/",Medium,1001 to 10000,,622210,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622210,Psychiatric and Substance Abuse Hospitals
6638,6638,united states department of veterans affairs,Yes,Unknown,US,,18.0,4.0,2011,,,,Privilege abuse,,AR,,,,B887562D-DC0E-4703-8E48-6F481E27C5ED,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6639,6639,kencrest services,Yes,Unknown,US,,,6.0,2014,,,,Knowledge abuse,,PA,,,,B88E09D1-8309-4C06-9E4F-1A776189A8CB,http://www.pottsmerc.com/general-news/20150122/woman-charged-for-16000-theft-from-lower-pottsgrove-patients,,101 to 1000,,623990,19021,,,USD,,,,16000.0,,,Unknown,Confirmed,62,623,Unknown,623990,Other Residential Care Facilities
6640,6640,cvs pharmacy,Yes,Unknown,US,,,,2013,Disposal error,,,,,MD,,,,B8A3C389-C6C7-439A-B2CA-320B9CB51B2C,http://healthitsecurity.com/2013/08/30/cvs-agrees-to-250k-data-privacy-resolution-with-maryland-ag/,,Over 100000,,446110,19021,,,USD,,,,250000.0,,,Unknown,Confirmed,44,446,Unknown,,
6641,6641,united states department of veterans affairs,Yes,Unknown,US,,31.0,8.0,2010,Disposal error,,,,,MN,,,,B8B20E02-39D2-4CD3-B83D-15389D0C676D,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6642,6642,united states department of veterans affairs,Yes,Unknown,US,,5.0,11.0,2012,,,,Unapproved hardware,,OK,,,,B8B7A2C4-0C80-43EB-90B2-5A445DD34E8C,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6646,6646,defense point security llc,Yes,Unknown,US,Phishing,,,2017,,,,,,VA,,,Targeted,f7d32230-77b3-11e7-a457-a5a222e6d450,https://krebsonsecurity.com/2017/03/govt-cybersecurity-contractor-hit-in-w-2-phishing-scam/,Medium,101 to 1000,,5415,19021,,,,,,,,,,,Confirmed,54,541,Unknown,5415,Computer Systems Design and Related Services
6648,6648,depository trust clearing corporation,Yes,Unknown,US,,12.0,3.0,2012,Publishing error,,,,,NY,,,,B8DD9BC0-D99B-40D6-BDD4-10CC223572D0,http://doj.nh.gov/consumer/security-breaches/documents/depository-trust-20120702.pdf,,1001 to 10000,,522320,19021,1100000000.0,USD,,,,,,,,Unknown,Confirmed,52,522,Unknown,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities "
6649,6649,anthem blue cross blue shield of indiana,Yes,Unknown,US,,15.0,11.0,2011,,,,Privilege abuse,,IN,"Anthem Blue Cross Blue Shield of Ohio , Empire Blue Cross Blue Shield of Indiana",,,B8E04295-D559-4B6E-BC63-505A808F5F69,http://www.fiercehealthpayer.com/story/info-6000-members-risk-after-social-security-numbers-stolen/2013-04-12,,Large,,524114,"19,021,021,000",,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524114,Direct Health and Medical Insurance Carriers
6652,6652,burger king,Yes,Unknown,US,,,,2012,,,,Possession abuse,,OR,,,,B8F25A26-C649-476E-858B-FC87A4E3E221,http://www.kptv.com/story/16997177/former-burger-king-employee-accused-of-stealing-credit-card-bank-information (20130215),,101 to 1000,,722,19021,,,,,,,,,,Unknown,Confirmed,72,722,Unknown,722,Food Services and Drinking Places
6654,6654,united states department of veterans affairs,Yes,Unknown,US,,15.0,8.0,2011,Publishing error,,,,,OH,,,,B8FFDDE9-8AB6-47DE-9288-7C12CD564A09,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6670,6670,united states department of veterans affairs,Yes,Unknown,US,,11.0,5.0,2012,Misdelivery,,,,,OR,,,,B985130B-58A9-4E94-BC1A-1467811A3E31,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6674,6674,yahoo inc,Yes,Unknown,US,,,,2016,,Unknown,,,,CA,Spark,,,6390A0A5-5990-4F69-B5A4-712D253E7743,http://gizmodo.com/yahoo-confirms-hackers-swiped-yahoo-mail-users-passwor-1512742999?utm_campaign=socialflow_gizmodo_twitter&utm_source=gizmodo_twitter&utm_medium=socialflow; http://www.cnbc.com/id/101378748; http://abcnews.go.com/Technology/wireStory/yahoo-email-account-passwords-stolen-22305108#.Uurimsh1WcY.twitter; http://www.engadget.com/2014/01/30/yahoo-mail-breach/; http://www.zdnet.com/article/yahoo-confirms-data-breach-affecting-500-million-accounts-claims-state-actor-behind-attack/#ftag=RSSbaffb68; http://www.scoop.co.nz/stories/BU1609/S00850/important-security-information-for-xtra-e-mail-customers.htm; http://news.anotao.com/link/nz/20160901136004/www.stuff.co.nz/business/84635480/Spark-customers-call-for-information-on-major-security-breach; http://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=11717147; http://nypost.com/2016/10/06/verizon-wants-1b-discount-on-yahoo-deal-after-hacking-reports/; https://www.databreaches.net/yahoo-loses-search-engine-partner-first-since-data-breach-reveal/,,1001 to 10000,,518210,19021,,,USD,,,,1000000000000.0,,,Unknown,Confirmed,51,518,Unknown,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
6676,6676,united states department of veterans affairs,Yes,Unknown,US,,2.0,9.0,2014,Misdelivery,,,,,CA,,,,B9C8586C-6556-4099-A495-409DDAB8DE15,http://vcdb.org/pdf/va-security-sep-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6686,6686,university of north carolina lineberger cancer center,Yes,Unknown,US,,,,2012,,Unknown,,,,NC,,,,BA0CB7CB-7BF1-40A1-886E-ACF7C9683C8E,http://chapelboro.com/Hackers-Reportedly-Access-Thousands-Of-UNC-Lineber/15197571,,1001 to 10000,,622110,19021,456700000.0,USD,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6688,6688,united states department of veterans affairs,Yes,Unknown,US,,23.0,5.0,2013,Misdelivery,,,,,NE,,,,BA0FADD8-BEAA-44ED-BE59-9D1976D54781,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6691,6691,hess corporation,Yes,Unknown,US,,,,2014,,,,,Skimmer,FL,,,,BA1D9042-4AD4-49EF-BF82-4BC5AE5877EB,http://www.tcpalm.com/news/2014/apr/11/hess-warns-customers-criminals-trying-steal-credit/,,10001 to 25000,,211111,19021,,,,,,,,,,Unknown,Confirmed,21,211,Unknown,,
6698,6698,insurance co of the west,Yes,Unknown,US,,28.0,2.0,2013,Disposal error,,,,,CA,,,,BA450A28-961D-448C-AA02-A0AFC8005A6B,https://www.privacyrights.org/node/56452,,101 to 1000,,524126,19021,,,,,,,,,,,Confirmed,52,524,Unknown,524126,Direct Property and Casualty Insurance Carriers
6699,6699,jpmorgan chase,Yes,Unknown,US,,,6.0,2014,,Unknown,,,,,"""least four other US banks """,,,BA45A885-7EF6-40CC-9AD9-3F8E683B9050,http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_php=true&_type=blogs&_php=true&_type=blogs&_r=1; http://www.consumerreports.org/cro/news/2014/10/protect-yourself-from-chase-mystery-breach/index.htm; http://www.zdnet.com/fbi-investigates-hack-of-jpmorgan-other-us-banks-7000033080/;http://www.nytimes.com/2014/08/28/technology/hackers-target-banks-including-jpmorgan.html; http://www.nytimes.com/interactive/2014/10/03/business/dealbook/jpmorgan-documents.html,,Over 100000,,52,"19,021,021,000",,,,,,,,,,Unknown,Confirmed,52,52,Unknown,52,Finance and Insurance
6714,6714,department of social health services,Yes,Unknown,US,,11.0,2.0,2014,Misdelivery,,,,,WA,,,,BAE5B59A-6247-4375-920E-86338BF77464,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf; http://www.databreaches.net/washington-dept-social-health-services-sends-sensitive-info-to-wrong-addresses/,,25001 to 50000,Unknown,923130,19021,,,,,,,,,,Unknown,Confirmed,92,923,Unknown,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
6715,6715,united states department of veterans affairs,Yes,Unknown,US,,25.0,5.0,2012,,,,Privilege abuse,,WV,,,,BAECB13F-8E93-460E-82F8-B1C66C583644,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6718,6718,euronet worldwide inc,Yes,Unknown,US,,23.0,1.0,2012,,Unknown,,,,KS,,,,BB28D7DE-A037-433E-AC1C-84FEA934E2E8,http://www.bizjournals.com/kansascity/news/2012/01/23/euronet-faces-first-criminal-computer.html?page=all,,1001 to 10000,,522390,19021,,,,,,,,,,Unknown,Confirmed,52,522,Unknown,522390,Other Activities Related to Credit Intermediation
6720,6720,euronet worldwide,Yes,Unknown,US,,,,2011,,Unknown,,,,KS,,,,BB3229D2-103F-4C32-BFD1-D1E3FE448C68,http://www.reuters.com/article/2012/01/23/us-euronetworldwide-idUSTRE80M2ET20120123 http://digitaltransactions.net/news/story/3405,,1001 to 10000,,522320,19021,1270000000.0,USD,,,,,,,,Unknown,Confirmed,52,522,Unknown,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities "
6725,6725,nevada restaurant services,Yes,Unknown,US,,16.0,1.0,2021,,Unknown,Export data,,,NV,,,Unknown,2ed03930-1adf-11ec-93a7-f3130d45721c,https://www.ktnv.com/news/dottys-parent-company-announces-data-breach-says-private-info-may-have-been-released,High,101 to 1000,,722513,19021,,,,,,,,,,,Confirmed,72,722,Unknown,722513,Limited-Service Restaurants
6733,6733,united states department of veterans affairs,Yes,Unknown,US,,9.0,4.0,2013,Data entry error,,,,,CA,,,,BB796274-4852-41F9-89C0-E10A48B98A0D,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6735,6735,usaa,Yes,Unknown,US,,,3.0,2012,,Use of stolen creds,,,,TX,,,,BB7D8E08-C2D6-4FAE-888B-F66B0C1B1E62,"http://www.justice.gov/usao/nj/Press/files/Sharapka,%20Oleksiy,%20et%20al.%20Arrest%20News%20Release.html; http://www.justice.gov/usao/nj/Press/files/pdffiles/2013/Sharapka,%20Oleksiy%20et%20al.%20Amended%20Complaint.pdf; https://threatpost.com/feds-bust-cybercrime-ring-targeting-payroll-financial-firms;",,10001 to 25000,,524126,19021,,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524126,Direct Property and Casualty Insurance Carriers
6737,6737,united states department of veterans affairs,Yes,Unknown,US,,30.0,1.0,2013,Misdelivery,,,,,NE,,,,BB8326D3-FA4D-4A3D-9A45-78C4C139F2EB,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6739,6739,ipayment inc,Yes,Unknown,US,,,3.0,2012,,Use of stolen creds,,,,NY,,,,BB9377E2-B69D-4FED-BFA0-FD53D9D08E9B,"http://www.justice.gov/usao/nj/Press/files/Sharapka,%20Oleksiy,%20et%20al.%20Arrest%20News%20Release.html; http://www.justice.gov/usao/nj/Press/files/pdffiles/2013/Sharapka,%20Oleksiy%20et%20al.%20Amended%20Complaint.pdf; https://threatpost.com/feds-bust-cybercrime-ring-targeting-payroll-financial-firms;",,101 to 1000,,522320,19021,,,,,,,,,,Unknown,Confirmed,52,522,Unknown,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities "
6744,6744,united states department of veterans affairs,Yes,Unknown,US,,6.0,4.0,2010,,,,Privilege abuse,,TX,,,,BB99DD92-1838-4C97-997E-63787AC222BD,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6746,6746,brandywine senior living,Yes,Unknown,US,,20.0,2.0,2013,,Unknown,,,,NJ,,,,BBA27971-8390-48F1-86B4-59F9F28F129A,http://www.oag.state.md.us/idtheft/Breach%20Notices/itu-225397.pdf,,1001 to 10000,,623220,19021,,,,,,,,,,Unknown,Confirmed,62,623,Unknown,623220,Residential Mental Health and Substance Abuse Facilities
6751,6751,teavanastarbucks,Yes,Unknown,US,,,3.0,2013,,Unknown,,,,GA,,,,BBE6B6FF-33DA-4933-BFA6-E7A37CA98331,http://krebsonsecurity.com/2013/04/sources-tea-leaves-say-breach-at-teavana/,,1001 to 10000,,445299,19021,168100000.0,USD,,,,,,,,Unknown,Confirmed,44,445,Unknown,,
6756,6756,united states department of veterans affairs,Yes,Unknown,US,,8.0,4.0,2010,,,,Privilege abuse,,TX,,,,BBF53AFB-2068-4C2A-9C21-C19C7A86E5E9,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6758,6758,united states department of veterans affairs,Yes,Unknown,US,,30.0,11.0,2011,,,,Privilege abuse,,OK,,,,BC02850F-C1A0-4F1B-912E-4DBE339882CD,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6762,6762,ameris bank,Yes,Unknown,US,,19.0,10.0,2017,,,,,Skimmer,FL,,,Opportunistic,85c435f0-c32e-11e7-8b51-4ba52e63b6cc,https://www.news4jax.com/news/2-men-charged-in-connection-with-card-skimming-devices-in-st-augustine-beach,Medium,1001 to 10000,,522120,19021,,,,,,,,,,,Confirmed,52,522,Unknown,,
6763,6763,united states department of veterans affairs,Yes,Unknown,US,,9.0,11.0,2011,,,,Privilege abuse,,NC,,,,BC231D06-E735-490A-859F-B27CE44D2B32,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6765,6765,twentyfirst century fox inc,Yes,Unknown,US,,,9.0,2013,,Unknown,,,,NY,,,,BC2BB2B4-25EF-4E11-84B5-7BF913B84178,http://www.hollywood.com/news/brief/55033072/damian-lewis-blames-hackers-for-homeland-leak,,25001 to 50000,,512110,19021,,,,,,,,,,Unknown,Confirmed,51,512,Unknown,512110,Motion Picture and Video Production
6767,6767,gannett,Yes,Unknown,US,Phishing,,,2017,,,,,,VA,,,Targeted,2b68a8f0-8767-11e7-944f-971cfc93387d,https://www.welivesecurity.com/2017/05/04/gannett-co-data-breach-18000-employees-reportedly-affected/,Medium,10001 to 25000,,511110,19021,,,,,,,,,,,Confirmed,51,511,Unknown,,
6769,6769,gyft,Yes,Unknown,US,,3.0,10.0,2015,,Unknown,,,,CA,,,,85D9EEF0-F25C-484B-9BFA-D637C2E2DA18,http://krebsonsecurity.com/2015/12/password-thieves-target-e-giftcard-firm-gyft/;  http://www.databreaches.net/gyft-notifies-affected-users-of-security-incident/;  http://themerkle.com/news/gyft-reveals-more-details-regarding-security-breach/; http://www.scmagazine.com/gyft-resets-some-customer-passwords-following-breach/article/460904/,,101 to 1000,,511210,19021,,,,,,,,,,Unknown,Confirmed,51,511,Unknown,,
6770,6770,united states department of veterans affairs,Yes,Unknown,US,,28.0,5.0,2010,Loss,,,,,MO,,,,BC463142-F2E2-4211-80A5-5C628BFCF061,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6772,6772,sony online entertainment,Yes,Unknown,US,,16.0,4.0,2011,,Unknown,,,,CA,,,,BC4BE9C4-58B0-4D32-A584-D244D80DA642,http://www.psu.com/news/11514/SOE-hacked--12700-credit-card-numbers-and-246-million-accounts-may-have-been-compromised;https://www.soe.com/securityupdate/,,101 to 1000,,511210,19021,,,,,,,,,,Unknown,Confirmed,51,511,Unknown,,
6777,6777,kalispell regional healthcare,Yes,Unknown,US,Phishing,,,2019,,,,,,MT,,,Opportunistic,695a0b20-1d1c-11ea-93dd-ad92e007263c,https://www.beckershospitalreview.com/cybersecurity/montana-health-system-alerts-130-000-patients-of-data-breach.html ;https://www.abcfoxmontana.com/crime/data-of-kalispell-regional-patients-possibly-breached/article_f6e498e8-f52b-11e9-9104-1325b320b442.html,Medium,1001 to 10000,,622110,19021,,,,,,,,,,,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
6780,6780,united states department of veterans affairs,Yes,Unknown,US,,19.0,11.0,2015,Misdelivery,,,,,FL,,,,18AC025C-C0EA-4823-ADEF-A3FAA0BE4CFB,http://vcdb.org/pdf/va-security-nov-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
6782,6782,united states department of veterans affairs,Yes,Unknown,US,,30.0,12.0,2011,Loss,,,,,NE,,,,BC97C389-C7AE-49B2-9E5F-6DE4F3290463,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
